Q4,VisitorType_New_Visitor,Q3,TrafficType_2,TrafficType_8,TrafficType_3,PageValues_iqr_yj_zscore,Q1,TrafficType_13,ExitRates_iqr_yj_zscore,OperatingSystems_3,Administrative_Duration_iqr_yj_zscore,TrafficType_1,SpecialDay_0.8,Month_Feb,Browser_6,SpecialDay_0.4,TrafficType_20,Informational_Duration_pp_iqr_yj_zscore,Browser_12,OperatingSystems_7,TrafficType_16,Revenue
0,0,0,0,0,0,-0.5294667868998693,1,0,1.7104903567726784,0,-0.9983000780233167,1,0,1,0,0,0,-0.49172755594066525,0,0,0,0
0,0,0,1,0,0,-0.5294667868998693,1,0,1.676643177532571,0,-0.9983000780233167,0,0,1,0,0,0,-0.49172755594066525,0,0,0,0
0,0,0,0,0,1,-0.5294667868998693,1,0,1.7104903567726784,0,-0.9983000780233167,0,0,1,0,0,0,-0.49172755594066525,0,0,0,0
0,0,0,0,0,0,-0.5294667868998693,1,0,1.7104903567726784,1,-0.9983000780233167,0,0,1,0,0,0,-0.49172755594066525,0,0,0,0
0,0,0,0,0,0,-0.5294667868998693,1,0,0.7963107204203698,1,-0.9983000780233167,0,0,1,0,0,0,-0.49172755594066525,0,0,0,0
0,0,0,0,0,1,-0.5294667868998693,1,0,-0.19121099783492473,0,-0.9983000780233167,0,0,1,0,0,0,-0.49172755594066525,0,0,0,0
0,0,0,0,0,1,-0.5294667868998693,1,0,1.7104903567726784,0,-0.9983000780233167,0,0,1,0,1,0,-0.49172755594066525,0,0,0,0
0,0,0,0,0,0,-0.5294667868998693,1,0,1.7104903567726784,0,-0.9983000780233167,0,0,1,0,0,0,-0.49172755594066525,0,0,0,0
0,0,0,0,0,1,-0.5294667868998693,1,0,1.676643177532571,0,-0.9983000780233167,0,1,1,0,0,0,-0.49172755594066525,0,0,0,0
0,0,0,1,0,0,-0.5294667868998693,1,0,-0.3135593657626102,0,-0.9983000780233167,0,0,1,0,1,0,-0.49172755594066525,0,0,0,0
0,0,0,0,0,1,-0.5294667868998693,1,0,1.1993747410466187,0,-0.9983000780233167,0,0,1,0,0,0,-0.49172755594066525,0,0,0,0
0,0,0,0,0,1,-0.5294667868998693,1,0,-0.12734914777924308,0,-0.9983000780233167,0,0,1,0,1,0,-0.49172755594066525,0,0,0,0
0,0,0,0,0,1,-0.5294667868998693,1,0,0.004065726324446694,0,-0.9983000780233167,0,0,1,0,0,0,-0.49172755594066525,0,0,0,0
0,0,0,0,0,1,-0.5294667868998693,1,0,1.1993747410466187,0,-0.9983000780233167,0,0,1,0,0,0,-0.49172755594066525,0,0,0,0
0,0,0,0,0,1,-0.5294667868998693,1,0,1.676643177532571,1,-0.9983000780233167,0,0,1,0,0,0,-0.49172755594066525,0,0,0,0
0,0,0,0,0,1,-0.5294667868998693,1,0,-0.6531605706904972,0,0.7934650318328813,0,0,1,0,0,0,-0.49172755594066525,0,0,0,0
0,0,0,0,0,1,-0.5294667868998693,1,0,1.7104903567726784,0,-0.9983000780233167,0,0,1,0,0,0,-0.49172755594066525,0,0,0,0
0,0,0,0,0,0,-0.5294667868998693,1,0,-1.2382607458608679,0,-0.9983000780233167,0,0,1,0,0,0,-0.49172755594066525,0,0,0,0
0,0,0,0,0,1,-0.5294667868998693,1,0,1.676643177532571,0,-0.9983000780233167,0,0,1,0,0,0,-0.49172755594066525,0,0,0,0
0,0,0,0,0,0,-0.5294667868998693,1,0,-1.070147307851611,0,-0.9983000780233167,0,0,1,0,0,0,-0.49172755594066525,0,0,0,0
