Administrative_yj_stdev_zscore,Month_Nov,VisitorType_New_Visitor,TrafficType_2,Month_May,TrafficType_3,add_exit_bounce_rates_yj_stdev_zscore,TrafficType_13,PageValues_yj_stdev_zscore,OperatingSystems_3,TrafficType_1,Month_Mar,TrafficType_8,SpecialDay_0.8,Month_Feb,Month_Dec,SpecialDay_0.4,TrafficType_20,Month_Oct,Region_1,Browser_12,OperatingSystems_7,TrafficType_16,Revenue
-0.9901280758375027,0,0,0,0,0,2.079147930752436,0,-0.5294091681775732,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
-0.9901280758375027,0,0,1,0,0,1.2170682418858216,0,-0.5294091681775732,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
-0.9901280758375027,0,0,0,0,1,2.079147930752436,0,-0.5294091681775732,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
-0.9901280758375027,0,0,0,0,0,1.8289510462836254,0,-0.5294091681775732,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
-0.9901280758375027,0,0,0,0,0,0.764994829842355,0,-0.5294091681775732,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
-0.9901280758375027,0,0,0,0,1,0.06879809477107428,0,-0.5294091681775732,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
-0.9901280758375027,0,0,0,0,1,2.079147930752436,0,-0.5294091681775732,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
0.09173731731017826,0,0,0,0,0,2.079147930752436,0,-0.5294091681775732,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
-0.9901280758375027,0,0,0,0,1,1.2170682418858216,0,-0.5294091681775732,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
-0.9901280758375027,0,0,1,0,0,-0.5406202587732676,0,-0.5294091681775732,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
-0.9901280758375027,0,0,0,0,1,0.7012835657688083,0,-0.5294091681775732,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
-0.9901280758375027,0,0,0,0,1,0.18826414219460913,0,-0.5294091681775732,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
-0.9901280758375027,0,0,0,0,1,-0.30753698951076913,0,-0.5294091681775732,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
-0.9901280758375027,0,0,0,0,1,0.7012835657688083,0,-0.5294091681775732,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
-0.9901280758375027,0,0,0,0,1,1.2170682418858216,0,-0.5294091681775732,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.5669148050225048,0,0,0,0,1,-0.44892378133320077,0,-0.5294091681775732,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
-0.9901280758375027,0,0,0,0,1,2.079147930752436,0,-0.5294091681775732,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
-0.9901280758375027,0,0,0,0,0,-1.1694638216500093,0,-0.5294091681775732,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
-0.9901280758375027,0,0,0,0,1,1.2170682418858216,0,-0.5294091681775732,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
-0.9901280758375027,0,0,0,0,0,-1.0597660717886361,0,-0.5294091681775732,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
-0.9901280758375027,0,0,0,0,0,-1.1385908199600632,0,-0.5294091681775732,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
-0.9901280758375027,0,0,0,0,1,2.079147930752436,0,-0.5294091681775732,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
-0.9901280758375027,0,0,0,0,0,-0.14714961947202573,0,-0.5294091681775732,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
-0.9901280758375027,0,0,0,0,1,1.2170682418858216,0,-0.5294091681775732,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
-0.9901280758375027,0,0,0,0,0,2.079147930752436,0,-0.5294091681775732,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
-0.9901280758375027,0,0,0,0,1,0.05854326370962459,0,-0.5294091681775732,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.0401862885189583,0,0,0,0,1,-0.9506870579556941,0,-0.5294091681775732,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
